meeting_id,score_speechrate,score_intensity,score_f0var,y_nonverbal,mean_gap,mean_gap_filled,score_pause,y_nonverbal_with_pause
tv108,0.6272752299575277,0.7204968944099379,0.968944099378882,0.7722387412487826,0.0,0.0,0.0,0.5791790559365869
tv109,0.0,0.42857142857142855,0.49689440993788825,0.30848861283643897,0.0,0.0,0.0,0.2313664596273292
tv110,1.0,0.2422360248447205,0.8819875776397516,0.7080745341614908,0.0,0.0,0.0,0.5310559006211181
tv111,1.0,0.18012422360248448,0.4720496894409938,0.5507246376811594,0.0,0.0,0.0,0.41304347826086957
tv112,0.5636423098774124,0.5962732919254659,0.8074534161490683,0.6557896726506488,1.0800000000000007,1.0800000000000007,0.789189189189189,0.6891395517852839
tv113,1.0,0.8633540372670807,0.14906832298136652,0.670807453416149,0.0,0.0,0.0,0.5031055900621118
tv114,0.6013726113238862,0.6211180124223602,0.6211180124223602,0.6145362120562021,0.3866666666666667,0.3866666666666667,0.9765765765765766,0.7050463031862957
tv115,0.25585782629686715,0.4782608695652174,0.6956521739130435,0.47659028992504265,,0.0,0.0,0.357442717443782
tv116,0.4910624894676836,0.5279503105590062,0.6832298136645962,0.567414204563762,1.9957142857142862,1.9957142857142862,0.5416988416988415,0.560985363847532
tv117,0.0,0.36645962732919257,0.7950310559006211,0.3871635610766046,3.437142857142857,3.437142857142857,0.15212355212355222,0.3284035588383415
tv118,1.0,0.9503105590062112,0.8944099378881988,0.94824016563147,0.0,0.0,0.0,0.7111801242236024
tv119,0.3811235888244715,0.8819875776397516,0.40993788819875776,0.5576830182209936,0.0,0.0,0.0,0.4182622636657452
tv120,0.0,0.391304347826087,0.7950310559006211,0.39544513457556935,,0.0,0.0,0.296583850931677
tv121,0.0,0.6335403726708074,0.7204968944099379,0.4513457556935818,0.0,0.0,0.0,0.33850931677018636
tv122,0.4488639565189514,0.7080745341614907,0.6335403726708075,0.5968262877837499,0.0,0.0,0.0,0.4476197158378124
