meeting_id,tot,n,dm_enum,dm_closing,dm_conn,li_aizuchi,li_understand,conf_request,conf_report,su_proposal,su_hedged,su_risk,info,listen,conf,speakup,y_weak
tv099,138.31,27,0.2242064926614127,0.0,0.10751211047646582,0.017930735304750176,0.015906297447762244,0.0,0.0,0.0,0.0,0.026317692140843042,0.9999989492577062,0.9999568740495751,0.001365285197515286,0.060651371122324965,0.5154931199067804
tv100,251.84,45,0.015644853875476483,0.0,0.0591645489199492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996320343701716,0.004088839685969286,0.00020630899827846105,0.004521877866023084,0.25211226523011054
tv101,117.74,50,0.05401732631221335,0.0,0.05401732631221335,0.011890606420927485,0.0,0.0,0.0,0.0,0.0,0.0,0.9999989492577062,0.21781459257129543,0.00020630899827846105,0.004521877866023084,0.3056354321733258
tv102,70.55,21,0.0,0.0,0.2177179305457122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387673778533657,0.004088839685969286,0.5,0.00888593683645558,0.21293553859394765
tv103,160.72,46,0.0,0.0,0.06172224987556008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5118624152730179,0.004088839685969286,0.00020630899827846105,0.004521877866023084,0.13016986045582218
tv104,78.55,32,0.03971992361553148,0.0,0.09675366008911523,0.0409929980903883,0.020878421387651187,0.0,0.0,0.0,0.0,0.0,0.9996320343701716,0.9999568740495751,0.00020630899827846105,0.004521877866023084,0.501079273821012
tv105,165.24,37,0.10409101912369885,0.0,0.16243040426046962,0.008714596949891096,0.009319777293633497,0.0,0.0,0.02529653836843379,0.10409101912369885,0.09095860566448802,0.9999991201952847,0.9813753752651537,0.00020630899827846105,0.9998612094034117,0.7453605034655322
tv106,156.88,34,0.0,0.0,0.11805201427842947,0.005864354920958705,0.0,0.0,0.0,0.0,0.008669046404895459,0.0,0.5560165835999645,0.21781459257129543,0.00020630899827846105,0.019875295781199474,0.19847819523768448
tv107,38.46,6,0.0,0.0,0.14248569942797704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381
tv108,32.14,9,0.0,0.19663970130678282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15121344119477287,0.27157149222781296,0.5,0.5,0.9822077777448291,0.5634448174931606
tv109,218.4,61,0.06904761904761911,0.00631868131868133,0.1286630036630037,0.022161172161172176,0.017307692307692312,0.0,0.0,0.0,0.0,0.0,0.9999986467015365,0.9999568740495751,0.00020630899827846105,0.004521877866023084,0.5011709269038532
tv110,66.97,24,0.0,0.0,0.061520083619531124,0.0,0.03553830073167083,0.0,0.0,0.0,0.0,0.0,0.3002002702918852,0.9387261714334026,0.001365285197515286,0.00888593683645558,0.31229441593981466
tv111,25.190000000000005,6,0.0,0.0,0.1826121476776498,0.0,0.0,0.0,0.1992854307264787,0.445017864231838,0.0,0.0,0.6076040908673526,0.5,0.9996931558402029,0.9998374375847068,0.7767836710730656
tv112,205.92999999999998,41,0.01039188073617242,0.04176176370611374,0.1509250716262807,0.017335987957072623,0.0,0.0,0.0,0.0,0.0,0.015733501675326545,0.9993591079965963,0.9919053513072539,0.00020630899827846105,0.060651371122324965,0.5130305348561134
tv113,18.799999999999997,6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25319148936170216,0.0,0.0,0.24089660691648035,0.5,0.9996931558402029,0.9998374375847068,0.6851068000853475
tv114,121.57,30,0.030435140248416575,0.0,0.22192975240602128,0.0,0.0,0.0,0.0,0.0,0.0,0.024677140741959366,0.9996918776150855,0.004088839685969286,0.001365285197515286,0.060651371122324965,0.2664493434052237
tv115,55.14,9,0.0,0.0,0.0,0.0,0.0464272760246644,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.9943186938471683,0.5,0.5,0.5588038251909122
tv116,248.04,70,0.04055797452023868,0.017739074342848007,0.06224802451217545,0.0,0.0,0.0,0.0,0.0,0.0,0.008869537171423919,0.9994341142363797,0.004088839685969286,0.00020630899827846105,0.060651371122324965,0.26609515851073806
tv117,123.46,45,0.0,0.009233759922241912,0.04584480803499112,0.0,0.16717965332901347,0.0,0.0,0.0,0.05005669852583838,0.0,0.4053692761530672,0.9387261714334026,0.00020630899827846105,0.055875045399553395,0.35004420049607543
tv118,38.2,14,0.0,0.0,0.0,0.005235602094240725,0.016230366492146715,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.9813753752651537,0.5,0.5,0.5555679955454085
tv119,179.29,43,0.03803893134028673,0.0,0.09838808634056564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996320343701716,0.004088839685969286,0.00020630899827846105,0.004521877866023084,0.25211226523011054
tv120,95.97531249999999,31,0.0,0.04126061063880369,0.02208901377632925,0.04167738448364002,0.036467711423184966,0.0,0.0,0.0,0.0,0.0,0.3350931808096259,0.9999978130321572,0.001365285197515286,0.004521877866023084,0.33524453922633035
tv121,22.54,11,0.0,0.0,0.07985803016858918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645625089987539,0.5,0.5,0.5,0.5161406272496885
tv122,150.36,37,0.0,0.0,0.0905826017557861,0.03844107475392392,0.024341580207501972,0.0,0.0,0.01995211492418196,0.0,0.0,0.5118624152730179,0.9999978130321572,0.00020630899827846105,0.6324515594512827,0.5361295241886841
tv123,49.580000000000005,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv124,122.6,30,0.03376835236541599,0.0,0.05334420880913534,0.038825448613376876,0.0238172920065253,0.0,0.0,0.0,0.0,0.0,0.9996320343701716,0.9999568740495751,0.001365285197515286,0.004521877866023084,0.5013690178708212
tv125,115.14,30,0.0,0.0,0.05419489317352787,0.0,0.0,0.0,0.0,0.048810144172312005,0.013375021712697641,0.0,0.5118624152730179,0.004088839685969286,0.001365285197515286,0.9995817375311179,0.3792245694219051
