alpha,u_text,u_voice,nash_product
0.14400000000000002,0.2014825973190884,0.9882177787011228,0.1430034893913793
0.145,0.20267625910874817,0.9880305011022211,0.14409562321380362
0.146,0.20387181041740665,0.9878414079299275,0.1451888027106835
0.147,0.20506925025942815,0.9876504909742085,0.14628301809357552
0.148,0.20626857760720282,0.9874577420061078,0.14737825947247138
0.149,0.2074697913908462,0.9872631527778877,0.14847451685532878
0.15,0.20867289049789822,0.987066715023175,0.14957178014760444
0.151,0.2098778737730215,0.9868684204571092,0.1506700391517892
0.152,0.211084740017699,0.9866682607764934,0.15176928356694513
0.153,0.21229348798993164,0.9864662276599467,0.15286950298824517
0.154,0.21350411640393502,0.9862623127680616,0.1539706869065153
0.155,0.21471662392983537,0.9860565077435612,0.15507282470777808
0.156,0.2159310091933661,0.9858488042114623,0.15617590567280062
0.157,0.21714727077556234,0.9856391937792374,0.15727991897664254
0.158,0.21836540721245665,0.9854276680369835,0.15838485368820923
0.159,0.21958541699477302,0.9852142185575903,0.15949069876980568
0.16,0.22080729856762116,0.9849988368969127,0.16059744307669419
0.161,0.2220310503301906,0.9847815145939464,0.16170507535665515
0.162,0.2232566706354439,0.9845622431710062,0.1628135842495504
0.163,0.2244841577898095,0.9843410141339048,0.16392295828688877
0.164,0.22571351005287513,0.9841178189721389,0.16503318589139684
0.165,0.22694472563707976,0.9838926491590729,0.1661442553765907
0.166,0.22817780270740626,0.9836654961521307,0.16725615494635265
0.167,0.22941273938107354,0.9834363513929862,0.16836887269451056
0.168,0.23064953372722796,0.98320520630776,0.16948239660442055
0.169,0.23188818376663542,0.982972052307215,0.17059671454855357
0.17,0.23312868747137236,0.9827368807869594,0.17171181428808532
0.171,0.23437104276451792,0.9824996831276502,0.17282768347249078
0.17200000000000001,0.23561524751984428,0.9822604506951996,0.173944309639141
0.17300000000000001,0.23686129956150853,0.9820191748409859,0.17506168021290555
0.17400000000000002,0.23810919666374344,0.9817758469020648,0.1761797825057573
0.17500000000000002,0.23935893655054857,0.9815304582013868,0.17729860371638276
0.176,0.24061051689538115,0.9812830000480159,0.1784181309297953
0.177,0.24186393532084782,0.9810334637373512,0.1795383511169543
0.178,0.24311918939839489,0.9807818405513529,0.18065925113438655
0.179,0.24437627664800035,0.9805281217587697,0.18178081772381435
0.18,0.2456351945378643,0.9802722986153707,0.18290303751178594
0.181,0.2468959404841013,0.9800143623641793,0.18402589700931257
0.182,0.24815851185043128,0.9797543042357124,0.1851493826115094
0.183,0.2494229059478718,0.9794921154482197,0.1862734805972411
0.184,0.25068912003442945,0.979227787207928,0.18739817712877246
0.185,0.2519571513147929,0.978961310709289,0.18852345825142497
0.186,0.2532269969400245,0.9786926771352292,0.18964930989323678
0.187,0.2544986540072539,0.9784218776574042,0.19077571786463013
0.188,0.25577211955937074,0.9781489034364546,0.19190266785808188
0.189,0.25704739058471837,0.9778737456222674,0.19303014544780145
0.19,0.25832446401678766,0.9775963953542384,0.1941581360894127
0.191,0.25960333673391145,0.9773168437615396,0.1952866251196428
0.192,0.26088400555895924,0.9770350819633887,0.19641559775601572
0.193,0.2621664672590327,0.9767511010693235,0.19754503909655285
0.194,0.2634507185451614,0.9764648921794767,0.19867493411947812
0.195,0.2647367560719992,0.9761764463848579,0.19980526768293058
0.196,0.2660245764375212,0.9758857547676365,0.20093602452468215
0.197,0.26731417618272163,0.9755928084014271,0.20206718926186235
0.198,0.26860555179131157,0.9752975983515815,0.20319874639068863
0.199,0.2698986996894188,0.9750001156754815,0.2043306802862047
0.2,0.2711936162452867,0.9747003514228352,0.20546297520202333
0.201,0.2724902977689753,0.9743982966359782,0.20659561527007794
0.202,0.27378874051206237,0.9740939423501781,0.20772858450037984
0.203,0.2750889406673454,0.9737872795939397,0.20886186678078247
0.20400000000000001,0.2763908943685448,0.9734782993893171,0.209995445876753
0.20500000000000002,0.2776945976900079,0.973166992752228,0.21112930543115146
0.20600000000000002,0.279000046646414,0.9728533506927715,0.21226342896401657
0.20700000000000002,0.2803072371924794,0.9725373642155474,0.21339779987235835
0.20800000000000002,0.2816161652226654,0.9722190243199841,0.21453240142996033
0.209,0.2829268265708855,0.9718983220006632,0.21566721678718673
0.21,0.28423921701021493,0.971575248247654,0.21680222897079976
0.211,0.2855533322526004,0.9712497940468472,0.21793742088378298
0.212,0.2868691679485721,0.9709219503802944,0.2190727753051739
0.213,0.28818671968695564,0.9705917082265493,0.22020827488990338
0.214,0.2895059829945865,0.9702590585610156,0.2213439021686448
0.215,0.29082695333602504,0.9699239923562937,0.22247963954766997
0.216,0.2921496261132728,0.9695865005825363,0.22361546930871465
0.217,0.2934739966654909,0.9692465742078035,0.22475137360885214
0.218,0.29480006026871874,0.968904204198423,0.22588733448037493
0.219,0.2961278121355954,0.9685593815193541,0.22702333383068632
0.22,0.29745724741508184,0.9682120971345551,0.22815935344220042
0.221,0.2987883611921843,0.9678623420073543,0.22929537497225047
0.222,0.3001211484876807,0.9675101071008242,0.23043137995300755
0.223,0.30145560425784673,0.9671553833781599,0.23156734979140756
0.224,0.30279172339418536,0.9667981618030606,0.2327032657690877
0.225,0.30412950072315736,0.9664384333401159,0.23383910904233352
0.226,0.3054689310059131,0.9660761889551936,0.23497486064203352
0.227,0.306810008938027,0.9657114196158332,0.23611050147364532
0.228,0.3081527291492335,0.9653441162916411,0.23724601231717074
0.229,0.3094970862031651,0.9649742699546924,0.23838137382714172
0.23,0.3108430745970919,0.9646018715799323,0.23951656653261474
0.231,0.3121906887616635,0.9642269121455851,0.24065157083717711
0.232,0.31353992306065337,0.9638493826335639,0.2417863670189629
0.233,0.3148907717907037,0.9634692740298851,0.24292093523067834
0.234,0.31624322918107495,0.9630865773250874,0.24405525549964038
0.23500000000000001,0.3175972893933951,0.9627012835146522,0.2451893077278228
0.23600000000000002,0.3189529465214125,0.96231338359943,0.24632307169191525
0.23700000000000002,0.32031019459075083,0.9619228685860695,0.24745652704339283
0.23800000000000002,0.32166902755866605,0.9615297294874487,0.2485896533085957
0.23900000000000002,0.323029439313806,0.9611339573231135,0.2497224298888213
0.24,0.3243914236759724,0.9607355431197158,0.250854836060427
0.241,0.3257549743958852,0.9603344779114571,0.25198685097494394
0.242,0.3271200851549494,0.9599307527405372,0.25311845365920327
0.243,0.32848674956502477,0.9595243586576028,0.25424962301547294
0.244,0.32985496116819796,0.9591152867222036,0.25538033782160746
0.245,0.3312247134365571,0.9587035280032492,0.25651057673120825
0.246,0.33259599977196996,0.9582890735794716,0.2576403182737975
0.247,0.3339688135058633,0.9578719145398892,0.25876954085500214
0.248,0.33534314789900665,0.9574520419842762,0.25989822275675184
0.249,0.3367189961412983,0.9570294470236358,0.261026342137489
0.25,0.3380963513515538,0.9566041207806736,0.2621538770323896
0.251,0.33947520657729846,0.9561760543902798,0.26328080535359966
0.252,0.340855554794562,0.9557452390000105,0.26440710489048125
0.253,0.3422373889076763,0.9553116657705751,0.26553275330987325
0.254,0.3436207017490768,0.9548753258763254,0.2666577281563642
0.255,0.34500548607910714,0.95443621050575,0.2677820068525791
0.256,0.3463917345858263,0.9539943108619711,0.26890556669947796
0.257,0.34777943988481946,0.9535496181632452,0.2700283848766689
0.258,0.3491685945190124,0.9531021236434669,0.27115043844273384
0.259,0.3505591909584892,0.9526518185526767,0.27227170433556824
0.26,0.35195122160031267,0.9521986941575712,0.2733921593727334
0.261,0.35334467876834996,0.951742741742019,0.2745117802518246
0.262,0.35473955471309937,0.9512839526075765,0.27563054355084976
0.263,0.35613584161152345,0.9508223180740112,0.2767484257286262
0.264,0.35753353156688295,0.9503578294798247,0.27786540312518704
0.265,0.358932616608577,0.9498904781827815,0.2789814519622052
0.266,0.36033308869198555,0.9494202555604392,0.2800965483434298
0.267,0.36173493969831594,0.9489471530106852,0.28121066825513774
0.268,0.36313816143445377,0.9484711619522725,0.28232378756659915
0.269,0.3645427456328171,0.9479922738253621,0.2834358820305578
0.27,0.3659486839512148,0.9475104800920666,0.2845469272837257
0.271,0.3673559679727101,0.9470257722369999,0.2856568988472941
0.272,0.3687645892054854,0.9465381417678249,0.28676577212745585
0.273,0.37017453908271464,0.9460475802158108,0.28787352241594705
0.274,0.3715858089624375,0.9455540791363882,0.2889801248906004
0.275,0.37299839012743885,0.9450576301097111,0.2900855546159154
0.276,0.37441227378513214,0.9445582247412193,0.29118978654364336
0.277,0.3758274510674475,0.9440558546622055,0.2922927955133874
0.278,0.3772439130307238,0.9435505115303855,0.29339455625321853
0.279,0.37866165065560575,0.9430421870304702,0.294495043380307
0.28,0.3800806548469448,0.9425308728747408,0.2955942314015683
0.281,0.38150091643370587,0.9420165608036302,0.2966920947143276
0.28200000000000003,0.38292242616887684,0.9414992425863012,0.2977886076069961
0.28300000000000003,0.3843451747293848,0.9409789100212342,0.2988837442597667
0.28400000000000003,0.38576915271601553,0.9404555549368123,0.29997747874532366
0.28500000000000003,0.38719435065333807,0.9399291691919129,0.3010697850295686
